SEKOLAH KEBANGSAAN (FELDA) CHINI 3 & 5,CBA5081,null
SEKOLAH KEBANGSAAN SULTAN AHMAD,CBB5061,null
SEKOLAH MENENGAH KEBANGSAAN SERI PEKAN,CEA5074,null
SEKOLAH MENENGAH KEBANGSAAN PALOH HINAI,CEA5056,null
SEKOLAH MENENGAH KEBANGSAAN LEPAR,CEA5078,null
SEKOLAH MENENGAH KEBANGSAAN PERAMU JAYA,CEA5079,null
SEKOLAH KEBANGSAAN UBAI,CBA4018,null
SEKOLAH KEBANGSAAN NENASI,CBA5012,null
SEKOLAH KEBANGSAAN TEMAI,CBA5029,null
SEKOLAH KEBANGSAAN SERANDU,CBA5037,null
SEKOLAH KEBANGSAAN PERAMU JAYA,CBA5084,null
SEKOLAH KEBANGSAAN (LKTP) CHINI TIMUR 2,CBA5085,null
SEKOLAH KEBANGSAAN PEKAN JAYA,CBA5088,null
SEKOLAH KEBANGSAAN PULAU SERAI,CBA5089,null
SEKOLAH KEBANGSAAN SIMPAI,CBA5090,null
SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN,CBC5064,null
SEKOLAH JENIS KEBANGSAAN (CINA) KEE WHA,CBC5065,null
SEKOLAH MENENGAH KEBANGSAAN DATO' MAHMUD MAT,CEA5053,null
SEKOLAH MENENGAH KEBANGSAAN TENGKU ABDULLAH,CEA5054,null
SEKOLAH MENENGAH KEBANGSAAN INDERA SHAHBANDAR,CEA5075,null
SEKOLAH MENENGAH KEBANGSAAN PEKAN,CEA5076,null
SEKOLAH MENENGAH KEBANGSAAN UBAI,CEA5077,null
SEKOLAH MENENGAH KEBANGSAAN SULTAN AHMAD,CEE5062,null
SEKOLAH MENENGAH KEBANGSAAN AGAMA KUALA LIPIS,CRA3001,null
SEKOLAH KEBANGSAAN WAN IBRAHIM,CBA3019,null
SEKOLAH KEBANGSAAN KUALA TELANG,CBA3002,null
SEKOLAH KEBANGSAAN (FELDA) KECAU 1,CBA3008,null
SEKOLAH KEBANGSAAN BUDU,CBA3010,null
SEKOLAH KEBANGSAAN CHAT,CBA3011,null
SEKOLAH MENENGAH KEBANGSAAN BENTA,CEA3036,null
SEKOLAH KEBANGSAAN TANJUNG GAHAI,CBA3017,null
SEKOLAH KEBANGSAAN KUALA MEDANG,CBA3018,null
SEKOLAH MENENGAH KEBANGSAAN ORANG KAYA HAJI,CEA3034,null
SEKOLAH KEBANGSAAN JERAM BUNGOR,CBA3028,null
SEKOLAH MENENGAH KEBANGSAAN SETIAWANGSA,CEA3038,null
SEKOLAH KEBANGSAAN CHEGAR PERAH,CBA3053,null
SEKOLAH KEBANGSAAN (FELDA) CHEGAR PERAH,CBA3054,null
SEKOLAH KEBANGSAAN BATU 13,CBA3055,null
SEKOLAH KEBANGSAAN TITOM (JHEOA),CBA3057,null
SEKOLAH KEBANGSAAN LENJANG(JHEOA),CBA3058,null
SEKOLAH KEBANGSAAN RPS BETAU (JHEOA),CBA3059,null
SEKOLAH KEBANGSAAN SENDERUT(JHEOA),CBA3060,null
SEKOLAH KEBANGSAAN BATU 9,CBA3062,null
SEKOLAH KEBANGSAAN TELUK GUNUNG,CBA3064,null
SEKOLAH KEBANGSAAN CLIFFORD,CBB3036,null
SEKOLAH KEBANGSAAN AUR GADING,CBA3005,null
SEKOLAH JENIS KEBANGSAAN (CINA) PENJOM,CBC3044,null
SEKOLAH KEBANGSAAN RELONG,CBA3020,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BENTA,CBD3049,null
SEKOLAH MENENGAH KEBANGSAAN KUALA LANAR,CEA3059,null
SMA AL-ITTIHADIAH,CFT3001,null
SEKOLAH KEBANGSAAN MELA,CBA3001,null
SEKOLAH KEBANGSAAN MERAPOH,CBA3006,null
SEKOLAH KEBANGSAAN KEMAHANG,CBA3012,null
SEKOLAH KEBANGSAAN TANJUNG BESAR,CBA3013,null
SEKOLAH KEBANGSAAN JERANSANG,CBA3014,null
SEKOLAH KEBANGSAAN BATU YON,CBA3003,null
SEKOLAH KEBANGSAAN GUA,CBA3025,null
SEKOLAH KEBANGSAAN KG KELEDEK,CBA3004,null
SEKOLAH KEBANGSAAN KUALA KOYAN (JHEOA),CBA3056,null
SEKOLAH KEBANGSAAN LANAI (JHEOA),CBA3061,null
SEKOLAH KEBANGSAAN TEMPOYANG,CBA3063,null
SEKOLAH KEBANGSAAN LIMAU PURUT,CBA3065,null
SEKOLAH JENIS KEBANGSAAN (CINA) PADANG TENGKU,CBC3042,null
SEKOLAH JENIS KEBANGSAAN (CINA) JERKOH,CBC3043,null
SEKOLAH MENENGAH KEBANGSAAN PADANG TENGKU,CEA3035,null
SEKOLAH MENENGAH KEBANGSAAN (FELDA) SG KOYAN,CEA3055,null
SEKOLAH MENENGAH KEBANGSAAN MERAPOH,CEA3056,null
SEKOLAH MENENGAH KEBANGSAAN PADANG SAUJANA,CEA2046,null
SEKOLAH MENENGAH KEBANGSAAN TEMIN,CEA2048,null
SEKOLAH MENENGAH KEBANGSAAN INDERAPURA,CEA2053,null
SEKOLAH KEBANGSAAN TANAH ROM,CBA2006,null
SEKOLAH KEBANGSAAN TEBING TINGGI,CBA2007,null
SEKOLAH KEBANGSAAN (FELDA) JENGKA 24,CBA2010,null
SEKOLAH KEBANGSAAN DURIAN HIJAU,CBA2011,null
SEKOLAH KEBANGSAAN BUKIT NIKMAT,CBA2012,null
SEKOLAH KEBANGSAAN KAMPUNG BAHARU,CBA2002,null
SEKOLAH KEBANGSAAN (FELDA) SG TEKAM,CBA2015,null
SEKOLAH KEBANGSAAN DAMAK,CBA2003,null
SEKOLAH KEBANGSAAN KUALA TEMBELING,CBA2018,null
SEKOLAH KEBANGSAAN PASIR DURIAN,CBA2019,null
SEKOLAH KEBANGSAAN MERTING,CBA2021,null
SEKOLAH KEBANGSAAN PAWANG NONG,CBA2004,null
SEKOLAH KEBANGSAAN KUALA SAT,CBA2024,null
SEKOLAH KEBANGSAAN ULU TEMBELING,CBA2025,null
SEKOLAH KEBANGSAAN GUSAI,CBA2027,null
SEKOLAH KEBANGSAAN SG. KIOL (JHEOA),CBA2049,null
SEKOLAH KEBANGSAAN LKTP JENGKA 25,CBA2051,null
SEKOLAH KEBANGSAAN GINTONG,CBA2009,null
SEKOLAH JENIS KEBANGSAAN (CINA) BATU BALAI,CBC2034,null
SEKOLAH JENIS KEBANGSAAN (CINA) JERANSONG,CBC2035,null
SEKOLAH JENIS KEBANGSAAN (CINA) DAMAK,CBC2036,null
SEKOLAH MENENGAH KEBANGSAAN PULAU TAWAR,CEA2029,null
SEKOLAH MENENGAH KEBANGSAAN PADANG PIOL,CEA2045,null
SEKOLAH MENENGAH KEBANGSAAN JENGKA 24,CEA2054,null
SEKOLAH MENENGAH KEBANGSAAN LEPAR UTARA,CEA4077,null
SMA KOTA GELANGGI 3,CFT2001,null
SEKOLAH KEBANGSAAN PEDAH,CBA2005,null
SEKOLAH KEBANGSAAN (FELDA) KOTA GELANGGI 1,CBA2042,null
SEKOLAH KEBANGSAAN (FELDA) SG RETANG,CBA2044,null
SEKOLAH KEBANGSAAN BATU BALAI,CBA2048,null
SEKOLAH KEBANGSAAN JERANTUT JAYA,CBA2052,null
SEKOLAH KEBANGSAAN INDERAPURA,CBA2053,null
SEKOLAH KEBANGSAAN JERANTUT,CBB2031,null
SEKOLAH KEBANGSAAN (FELDA) TEKAM UTARA,CBA2040,null
SEKOLAH MENENGAH KEBANGSAAN DAMAK,CEA2047,null
SEKOLAH MENENGAH KEBANGSAAN P. PENYELIDIKAN PERTANIAN TUN RAZAK,CEA2051,null
SEKOLAH AGAMA MAAHAD TAHFIZ WA TA'LIMIL AL-QURAN,CFT2002,null
SEKOLAH KEBANGSAAN TANJUNG RAJA,CBA6011,null
SEKOLAH MENENGAH KEBANGSAAN SEGA,CEA6027,null
SEKOLAH KEBANGSAAN TANJUNG PUTUS,CBA6005,null
SEKOLAH KEBANGSAAN ULU DONG,CBA6007,null
SEKOLAH KEBANGSAAN TEMAU,CBA6009,null
SEKOLAH KEBANGSAAN KUALA DONG,CBA6010,null
SEKOLAH KEBANGSAAN CHENUA,CBA6012,null
SEKOLAH KEBANGSAAN ULU ATOK,CBA6015,null
SEKOLAH KEBANGSAAN SEMANTAN ULU,CBA6016,null
SEKOLAH KEBANGSAAN KUNDANG PATAH,CBA6017,null
SEKOLAH KEBANGSAAN BATU TALAM,CBA6018,null
SEKOLAH KEBANGSAAN TERSANG,CBA6019,null
SEKOLAH KEBANGSAAN ULU SUNGAI,CBA6020,null
SEKOLAH KEBANGSAAN (FELDA) KRAU 1,CBA6023,null
SEKOLAH KEBANGSAAN BUKIT FRASER,CBA6025,null
SEKOLAH KEBANGSAAN SATAK,CBA6026,null
SEKOLAH KEBANGSAAN RAUB INDAH,CBA6027,null
SEKOLAH KEBANGSAAN RAUB JAYA,CBA6028,null
SEKOLAH JENIS KEBANGSAAN (CINA) CHEROH,CBC6036,null
SEKOLAH JENIS KEBANGSAAN (CINA) SG CHETANG,CBC6038,null
SEKOLAH JENIS KEBANGSAAN (CINA) SANG LEE,CBC6039,null
SEKOLAH JENIS KEBANGSAAN (CINA) SG KLAU,CBC6040,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG GALI,CBD6044,null
SEKOLAH MENENGAH KEBANGSAAN DONG,CEA6023,null
SEKOLAH MENENGAH KEBANGSAAN GALI,CEA6026,null
SEKOLAH MENENGAH KEBANGSAAN SUNGAI RUAN,CEB6030,null
SEKOLAH KEBANGSAAN ULU GALI,CBA6002,null
SEKOLAH KEBANGSAAN GALI,CBA6003,null
SEKOLAH KEBANGSAAN PAMAH KULAT,CBA6006,null
SEKOLAH KEBANGSAAN PEREMPUAN METHODIST,CBB6025,null
SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHING,CBC6031,null
SEKOLAH JENIS KEBANGSAAN (CINA) SG LUI,CBC6035,null
SEKOLAH JENIS KEBANGSAAN (CINA) TRAS,CBC6037,null
SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG CHEROH,CBD6042,null
